id,title,type
1,11,0
2,17,0
3,18,0
4,19,0
5,20,0
6,21,0
7,22,0
8,23,0
9,24,0
10,25,0
11,26,0
12,27,0
13,28,0
14,29,0
15,30,0
16,31,0
17,32,0
18,33,0
19,34,0
20,35,0
21,36,0
22,37,0
23,38,0
24,39,0
25,40,0
26,41,0
27,42,0
28,43,0
29,44,0
30,45,0
31,46,0
32,47,0
33,48,0
34,49,0
35,50,0
36,52,0
37,54,0
38,56,0
39,58,0
40,60,0
41,62,0
42,6/8,0
43,10/12,0
44,14/16,0
45,16/18,0
46,18/20,0
47,20/22,0
48,22/23,0
49,24/25,0
50,26/27,0
51,28/29,0
52,30/31,0
53,32/33,0
54,34/35,0
55,36/37,0
56,38/39,0
57,40/41,0
58,42/43,0
59,44/45,0
60,46/47,0
61,XXXS,1
62,XXS,1
63,XS,1
64,S,1
65,M,1
66,L,1
67,XL,1
68,XXL,1
69,3XL,1
70,4XL,1
71,5XL,1
72,6XL,1
