id,title_ru,title_ua,header_id,currency_id
1,Гривна,Гривня,1,1
2,₴,₴,2,1
3,980,980,3,1
4,Грн,Грн,4,1
5,10000,10000,5,1
6,1,1,6,1
7,Доллар США,Долар США,1,2
8,$,$,2,2
9,840,840,3,2
10,USD,USD,4,2
11,28.3061,28.3061,5,2
12,100,100,6,2
13,Евро,євро,1,3
14,€,€,2,3
15,978,978,3,3
16,EUR,EUR,4,3
17,33.6,33.6,5,3
18,10,10,6,3
19,Российский рубль,Російський рубль,1,4
20,₽,₽,2,4
21,643,643,3,4
22,RUB,RUB,4,4
23,31,31,5,4
24,10,10,6,4
25,Белорусский рубль,Білоруський рубль,1,5
26,Br,Br,2,5
27,933,933,3,5
28,BYN,BYN,4,5
29,11.0901,11.0901,5,5
30,1,1,6,5
31,Гонконгский доллар,Гонконгський долар,1,6
32,HK$,HK$,2,6
33,344,344,3,6
34,HKD,HKD,4,6
35,1,1,5,6
36,1,1,6,6
37,Злотый,Злотый,1,7
38,zł,zł,2,7
39,985,985,3,7
40,PLN,PLN,4,7
41,1,1,5,7
42,1,1,6,7
43,Йена,Йена,1,8
44,¥,¥,2,8
45,392,392,3,8
46,JPY,JPY,4,8
47,1,1,5,8
48,1,1,6,8
49,Лари,Ларі,1,9
50,ლ,ლ,2,9
51,981,981,3,9
52,GEL,GEL,4,9
53,1,1,5,9
54,1,1,6,9
55,Новый израильский шекель,Ізраїльський новий шекель,1,10
56,₪,₪,2,10
57,376,376,3,10
58,ILS,ILS,4,10
59,1,1,5,10
60,1,1,6,10
61,Турецкая лира,Турецька ліра,1,11
62,₺,₺,2,11
63,949,949,3,11
64,TRY,TRY,4,11
65,1,1,5,11
66,1,1,6,11
67,Чешская крона,Чеська крона,1,12
68,Kč,Kč,2,12
69,203,203,3,12
70,CZK,CZK,4,12
71,1,1,5,12
72,1,1,6,12
