id,title_ru,title_ua,is_sortable,is_visible,order,value
1,Сотрудник,Співробітник,1,1,0,full_name
2,Пользователь,Користувач,1,1,0,is_user
3,Статус сотрудника,Статус співробітника,1,1,0,is_not_active
4,Должность,Посада,1,1,0,position
5,ИНН,ІПН,1,0,0,inn
6,Оклад,Оклад,1,0,0,salary
7,Отдел,Відділ,1,1,0,department
8,Дата приема,Дата прийому,1,1,0,date_receipt
9,Дата увольнения,Дата звільнення,1,1,0,date_dismissal
10,Контактные данные,Контактні дані,1,1,0,contact
11,Дата рождения,Дата Народження,1,0,0,date_of_birth
