id,title_ru,title_ua,is_sortable,is_visible,value
1,Дата документа,Дата документа,1,1,date
2,Статус,Статус,1,1,status
3,ID,ID,1,1,convert_id
4,Контрагент,Контрагент,1,1,counterparty
5,Сумма,Сума,1,1,amount
6,Условия оплаты,Умови оплати,1,0,terms_payment
7,Форма оплаты,Форма оплати,1,0,form_payment
8,Доставка,Доставка,1,1,delivery
9,№ ТТН//ЭН,№ ТТН//ЭН,1,0,ttn_number
10,Склад,Склад,1,0,warehouse
11,Статус оплаты,Статус оплаты,1,0,status_payment
12,Причина возврата,Причина повернення,1,0,directory_return
13,Причина отмены закупки,Причина скасування закупівлі,1,0,directory_cancell
14,Ответственный,Відповідальний,1,1,responsible
15,Комментарий,Коментар,1,0,comments
16,Вид документа,Вид документа,0,0,document_type
