id,title_ru,title_ua,is_sortable,is_visible,order,value
1,ID,ID,1,1,0,convert_id
2,Дата документа,Дата документа,1,1,0,date
3,Склад,Склад,1,1,0,warehouse
4,Вид документа,Вид документа,1,1,0,document_type
5,Сумма,Сумма,1,1,0,amount
6,Контрагент,Контрагент,1,1,0,user
7,Организация,Организация,0,0,0,organization
8,Основаие,Основаие,0,0,0,basis
9,Дата поступления факт.,Дата надходження факт.,1,1,0,receipt_date_actual
10,Дата отгрузки факт.,Дата отгрузки факт.,1,1,0,shipping_date_actual
11,№ ТТН,№ ТТН,0,0,0,ttn_number
12,Статус ТТН,Статус ТТН,0,0,0,ttn_status
13,Причина возврата,Причина повернення,0,0,0,directory_return
14,Причина отмены закупки,Причина скасування закупівлі,0,0,0,directory_cancell
15,Ответственный,Відповідальний,0,0,0,responsible
