id,title_ru,title_ua,is_sortable,is_visible,order,value
1,Дата,Дата,1,1,0,date
2,ID,ID,1,1,0,convert_id
3,Название,Название,1,1,0,title
4,Статус,Статус,1,1,0,lead_status
5,Телефон,Телефон,1,1,0,phone
6,Email,Email,1,0,0,email
7,Организация,Организация,1,0,0,organization
8,Лояльность,Лояльность,1,1,0,loyalty
9,Категории товаров,Категории товаров,1,1,0,categories
10,Кол-во. тов.,Кол-во. тов.,1,1,0,balance
11,Скидка,Скидка,1,1,0,percent
12,Сумма,Сумма,1,1,0,amount
13,Менеджер,Менеджер,1,1,0,manager
14,Комментарий,Комментарий,1,1,0,comments
