id,title_ru,title_ua,is_sortable,is_visible,order,value
1,ID,ID,1,1,0,convert_id
2,Артикул,Артикул,0,0,0,sku
3,Наименование,Наименование,1,1,0,short_title
4,Наименование полное,Наименование полное,0,0,0,dock_title
6,Цена закупочная,Цена закупочная,0,0,0,price_1
7,Цена розничная,Цена розничная,1,1,0,price_2
8,Цена оптовая,Цена оптовая,0,0,0,price_3
9,Минимальная цена продажи,Минимальная цена продажи,0,0,0,min_price
10,Ед.изм.,Ед.изм.,1,1,0,units
11,Кол-во ед. в упаковке,Кол-во ед. в упаковке,0,0,0,packing
12,Остаток,Остаток,1,1,0,balance
13,Нижняя граница остатка,Нижняя граница остатка,0,0,0,lower_limit
14,Страна производитель,Страна производитель,0,0,0,countries
15,Поставщик,Поставщик,0,0,0,suppliers
16,Вес,Вес,0,0,0,weights
17,Объемный вес,Объемный вес,0,0,0,volumes
