id,title_ru,title_ua,is_sortable,is_visible,order,value
1,ID,ID,1,1,0,convert_id
2,Артикул,Артикул,1,1,0,sku
3,Наименование,Наименование,1,1,0,short_title
4,Наименование полное,Наименование полное,0,0,0,dock_title
5,Статус на сайте,Статус на сайте,0,0,0,is_visible
6,Цена закупочная,Цена закупочная,1,1,0,price_1
7,Цена розничная,Цена розничная,1,1,0,price_2
8,Цена оптовая,Цена оптовая,0,0,0,price_3
9,Минимальная цена продажи,Минимальная цена продажи,0,0,0,min_price
10,Ед.изм.,Ед.изм.,1,1,0,units
11,Поставщик,Поставщик,0,0,0,suppliers
