id,title_ru,title_ua,is_sortable,is_visible,order,value
1,ID,ID,1,1,0,id
2,Поставщик,Постачальник,1,1,0,title_supplier
3,Наименование компании,Найменування компанії,1,0,0,title_company
4,ИНН,ІПН,1,1,0,inn
5,Код ЭДРПОУ,Код ЄДРПОУ,1,0,0,edrpou
6,Вид,Вид,1,0,0,partner_type
7,Задолженность,Заборгованість,1,1,0,debt
8,Факт. адрес страна,Факт. адреса країна,1,0,0,actual_address_country
9,Факт. адрес область,Факт. адреса область,1,0,0,actual_address_region
10,Факт. адрес город/населенный пункт,Факт. адреса місто/населений пункт,1,1,0,actual_address_city
11,Юр. адрес страна,Юр. адрес страна,1,0,0,legal_address_country
12,Юр. адрес область,Юр. адреса область,1,0,0,legal_address_region
13,Юр. адрес город/населенный пункт,Юр. адреса місто/населений пункт,1,0,0,legal_address_city
14,Адрес доставки страна,Адреса доставки Країна,1,0,0,delivery_address_country
15,Адрес доставки область,Адреса доставки область,1,0,0,delivery_address_region
16,Адрес доставки город/населенный пункт,Адреса доставки місто/населений пункт,1,0,0,delivery_address_city
17,Менеджер,Менеджер,1,1,0,manager
18,Группа,Група,1,1,0,group
19,Иностранная компания,Іноземна компанія,1,0,0,foreign_company
