id,title_ru,title_ua,is_sortable,is_visible,order,value
1,ID,ID,1,1,0,convert_id
2,Артикул,Артикул,1,0,1,sku
3,Наименование,Наименование,1,1,0,short_title
4,Наименование полное,Наименование полное,1,0,0,dock_title
5,Статус на сайте,Статус на сайте,1,0,0,is_visible
6,Ед.изм.,Ед.изм.,1,1,0,units
7,Кол-во ед. в упаковке,Кол-во ед. в упаковке,1,1,0,packing
8,Остаток,Остаток,1,1,0,balance
9,Возможный остаток,Возможный остаток,1,1,0,possible_balance_kits
10,Нижняя граница остатка,Нижняя граница остатка,1,0,0,lower_limit
11,Страна производитель,Страна производитель,1,1,0,countries
12,Поставщик,Поставщик,1,0,0,suppliers
13,Вес,Вес,0,0,0,weights
14,Объемный вес,Объемный вес,0,0,0,volumes
15,Резерв,Резерв,1,1,0,reserve
